Location,zip_code
"(41.885409, -87.726491)",60624
"(41.967096, -87.667429)",60640
"(41.95358617895, -87.7093107999)",60618
"(42.057044, -87.686554)",60201
"(41.939398, -87.711561)",60618
"(41.978353, -87.659753)",60640
"(41.8671177825, -87.6410879593)",60607
"(41.945529, -87.646439)",60657
"(41.93190196886, -87.7011951301)",60647
"(41.8349, -87.61793)",60616
"(41.97334, -87.66778)",60640
"(41.85008369347577, -87.6321405172348)",60616
"(41.800908, -87.674684)",60609
"(42.064854, -87.715297)",60201
"(41.89675, -87.63089)",60610
"(41.93588, -87.67842)",60618
"(41.919936, -87.64883)",60614
"(41.8378, -87.65114)",60608
"(41.95400483876, -87.7191281797)",60618
"(41.89046879243862, -87.70260751247406)",60612
"(41.983593, -87.669154)",60640
"(41.943403, -87.679618)",60618
"(41.870816, -87.631246)",60605
"(41.8797877089, -87.686112808)",60612
"(41.931931, -87.677856)",60647
"(41.894448, -87.622663)",60611
"(41.99023602867, -87.6933696402)",60612
"(41.87501, -87.67328)",60612
"(41.913865, -87.648755)",60614
"(41.802562, -87.590368)",60615
"(41.929143, -87.649077)",60614
"(41.84358, -87.645368)",60616
"(41.99051755556753, -87.66983360052109)",60660
"(41.895769, -87.67722)",60612
"(41.830661, -87.647172)",60608
"(41.93758231600629, -87.6440978050232)",60657
"(41.899643, -87.6677)",60622
"(41.794982, -87.633124)",60609
"(41.932588, -87.636427)",60657
"(41.84163253965, -87.6574349533)",60608
"(42.00797192287, -87.6655023944)",60626
"(42.050491, -87.677821)",60208
"(41.894556, -87.653449)",60642
"(41.83127423549, -87.6087991946)",60653
"(41.78101637196, -87.5761197602)",60649
"(41.948818, -87.74002)",60641
"(41.92019556200566, -87.69265919923781)",60647
"(41.77938114228, -87.6446208145)",60621
"(41.94815, -87.66394)",60613
"(41.957081, -87.664199)",60613
"(41.85378, -87.64665)",60608
"(41.910535, -87.689556)",60647
"(41.949074, -87.648636)",60613
"(41.967968, -87.650001)",60640
"(41.907066, -87.667252)",60612
"(41.93314, -87.64776)",60614
"(41.917741, -87.691392)",60647
"(41.928773, -87.663913)",60614
"(41.78414169317, -87.6133078304)",60637
"(41.84847, -87.685109)",60612
"(41.921525, -87.707322)",60647
"(41.954383, -87.648043)",60613
"(41.928712, -87.653833)",60614
"(41.915983, -87.677335)",60622
"(41.92883, -87.668507)",60614
"(41.9267559875, -87.6344287848)",60614
"(41.94367, -87.64895)",60657
"(41.949923, -87.713949)",60618
"(41.93842879148, -87.698007756)",60618
"(41.902973, -87.63128)",60610
"(41.842733, -87.635491)",60616
"(41.96835449363, -87.7118306675)",60612
"(41.89637337, -87.66098386)",60612
"(41.867491, -87.63219)",60605
"(41.95434085219, -87.6860796243)",60618
"(41.91050936666395, -87.6823890209198)",60647
"(41.8310363140161, -87.62679755687714)",60609
"(41.961406, -87.676169)",60613
"(41.961588, -87.666036)",60613
"(41.97563272521, -87.7014194389)",60612
"(41.872596, -87.633502)",60607
"(41.872187, -87.661501)",60607
"(41.854109, -87.685838)",60608
"(41.960631, -87.745359)",60641
"(41.751785, -87.578496)",60649
"(41.906724, -87.63483)",60610
"(41.79933626261, -87.6009581145)",60615
"(41.925858, -87.638973)",60614
"(41.939354, -87.683282)",60618
"(41.858166, -87.656495)",60608
"(41.968885, -87.684001)",60625
"(41.924398819, -87.7154410355)",60647
"(41.91751339399, -87.7018089555)",60647
"(41.939743, -87.658865)",60657
"(41.857901, -87.668745)",60608
"(41.838464, -87.635406)",60616
"(41.88445395657, -87.6962981368)",60612
"(41.898969, -87.629912)",60610
"(41.90068, -87.6626)",60642
"(41.894877, -87.632326)",60654
"(41.91461, -87.667968)",60642
"(41.86193049278259, -87.69345045089722)",60608
"(41.856594, -87.627542)",60616
"(41.915689, -87.6346)",60614
"(41.906866, -87.626217)",60610
"(41.940775, -87.639192)",60657
"(41.93894304409, -87.66386568546295)",60657
"(41.98974251144, -87.6601406209)",60612
"(41.98366470886, -87.6964225611)",60659
"(41.95469, -87.67393)",60613
"(41.903266, -87.678435)",60622
"(42.019276, -87.68452)",60202
"(41.918084, -87.643749)",60614
"(41.903222, -87.634324)",60610
"(41.888716036, -87.6444478533)",60661
"(41.869265218438194, -87.67373085021973)",60612
"(41.918306, -87.636282)",60614
